2023-07-24 16:06:43 | [INFO] | [MainThread] | root | FUNC: (AbstractDataSaverManager.py).__init__(33) | Cache instruments map exist
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1875-C.100ms'], 'usIn': 1690204006853707, 'usOut': 1690204006853796, 'usDiff': 89, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1875-P.100ms'], 'usIn': 1690204006907456, 'usOut': 1690204006907673, 'usDiff': 217, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1900-C.100ms'], 'usIn': 1690204006966024, 'usOut': 1690204006966119, 'usDiff': 95, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1900-P.100ms'], 'usIn': 1690204007012613, 'usOut': 1690204007012735, 'usDiff': 122, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1925-C.100ms'], 'usIn': 1690204007067534, 'usOut': 1690204007067635, 'usDiff': 101, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1925-P.100ms'], 'usIn': 1690204007118032, 'usOut': 1690204007118113, 'usDiff': 81, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1950-C.100ms'], 'usIn': 1690204007177278, 'usOut': 1690204007177394, 'usDiff': 116, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1950-P.100ms'], 'usIn': 1690204007224238, 'usOut': 1690204007224346, 'usDiff': 108, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1975-C.100ms'], 'usIn': 1690204007335166, 'usOut': 1690204007335273, 'usDiff': 107, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1975-P.100ms'], 'usIn': 1690204007385941, 'usOut': 1690204007386076, 'usDiff': 135, 'testnet': False}
